scheme_code,period_name,bnh_max_dd,v2a_max_dd,drawdown_saved,v2a_beats_bnh
100033,2011 Bear,-0.292405,-0.260455,-0.03195,True
100033,2015-16 Correction,-0.196722,-0.108623,-0.088099,True
100033,2018-19 NBFC Crisis,-0.181674,-0.144667,-0.037008,True
100033,2020 COVID Crash,-0.393125,-0.270635,-0.12249,True
100033,2024-26 Sideways,-0.207723,-0.130459,-0.077263,True
100064,2011 Bear,-0.18158,-0.144527,-0.037053,True
100064,2015-16 Correction,-0.185796,-0.08338,-0.102416,True
100064,2018-19 NBFC Crisis,-0.172476,-0.089358,-0.083118,True
100064,2020 COVID Crash,-0.324691,-0.186602,-0.138089,True
100064,2024-26 Sideways,-0.226045,-0.192484,-0.033561,True
100081,2011 Bear,-0.177595,-0.145269,-0.032326,True
100081,2015-16 Correction,-0.155509,-0.102043,-0.053466,True
100081,2018-19 NBFC Crisis,-0.137986,-0.074275,-0.063711,True
100081,2020 COVID Crash,-0.288671,-0.150816,-0.137855,True
100081,2024-26 Sideways,-0.115116,-0.030466,-0.084651,True
100175,2011 Bear,-0.397063,-0.367753,-0.029311,True
100175,2015-16 Correction,-0.146542,-0.096225,-0.050317,True
100175,2018-19 NBFC Crisis,-0.142895,-0.053322,-0.089573,True
100175,2020 COVID Crash,-0.362924,-0.23438,-0.128545,True
100175,2024-26 Sideways,-0.261971,-0.160142,-0.101829,True
100177,2011 Bear,-0.087335,-0.069913,-0.017422,True
100177,2015-16 Correction,-0.282195,-0.203633,-0.078562,True
100177,2018-19 NBFC Crisis,-0.13263,-0.010794,-0.121836,True
100177,2020 COVID Crash,-0.385757,-0.385757,-0.0,True
100177,2024-26 Sideways,-0.247285,-0.17093,-0.076355,True
100219,2011 Bear,-0.32255,-0.292659,-0.02989,True
100219,2015-16 Correction,-0.208445,-0.152637,-0.055808,True
100219,2018-19 NBFC Crisis,-0.055597,-0.05333,-0.002267,True
100219,2020 COVID Crash,-0.153113,-0.122152,-0.030962,True
100219,2024-26 Sideways,-0.203672,-0.148068,-0.055604,True
100221,2011 Bear,-0.186416,-0.150307,-0.036109,True
100221,2015-16 Correction,-0.151043,-0.020848,-0.130195,True
100221,2018-19 NBFC Crisis,-0.046186,-0.007289,-0.038897,True
100221,2020 COVID Crash,-0.297321,-0.1978,-0.099521,True
100221,2024-26 Sideways,-0.190308,-0.038089,-0.152218,True
100254,2011 Bear,-0.418293,-0.418293,0.0,False
100254,2015-16 Correction,-0.256343,-0.178849,-0.077494,True
100254,2018-19 NBFC Crisis,-0.159441,-0.087839,-0.071602,True
100254,2020 COVID Crash,-0.379704,-0.287268,-0.092436,True
100254,2024-26 Sideways,-0.275211,-0.204812,-0.070399,True
100313,2011 Bear,-0.285597,-0.257267,-0.028329,True
100313,2015-16 Correction,-0.286128,-0.260578,-0.02555,True
100313,2018-19 NBFC Crisis,-0.13838,-0.132285,-0.006095,True
100313,2020 COVID Crash,-0.342744,-0.263974,-0.07877,True
100313,2024-26 Sideways,-0.235432,-0.169917,-0.065515,True
100323,2011 Bear,-0.202126,-0.162322,-0.039805,True
100323,2015-16 Correction,-0.250852,-0.130663,-0.120189,True
100323,2018-19 NBFC Crisis,-0.10459,-0.083891,-0.020699,True
100323,2020 COVID Crash,-0.282468,-0.171941,-0.110527,True
100323,2024-26 Sideways,-0.154808,-0.036253,-0.118555,True
100414,2011 Bear,-0.133471,-0.102294,-0.031177,True
100414,2015-16 Correction,-0.144166,-0.03339,-0.110776,True
100414,2018-19 NBFC Crisis,-0.10192,-0.015671,-0.086249,True
100414,2020 COVID Crash,-0.289681,-0.137419,-0.152262,True
100414,2024-26 Sideways,-0.144851,-0.02925,-0.115601,True
100415,2011 Bear,-0.189973,-0.157217,-0.032756,True
100415,2015-16 Correction,-0.172315,-0.07447,-0.097845,True
100415,2018-19 NBFC Crisis,-0.130142,-0.060418,-0.069724,True
100415,2020 COVID Crash,-0.295788,-0.167097,-0.12869,True
100415,2024-26 Sideways,-0.233216,-0.173014,-0.060202,True
100475,2011 Bear,-0.229817,-0.192179,-0.037638,True
100475,2015-16 Correction,-0.18932,-0.087353,-0.101967,True
100475,2018-19 NBFC Crisis,-0.145009,-0.067503,-0.077506,True
100475,2020 COVID Crash,-0.376225,-0.261509,-0.114716,True
100475,2024-26 Sideways,-0.162438,-0.053487,-0.10895,True
100476,2011 Bear,-0.223203,-0.223203,0.0,False
100476,2015-16 Correction,-0.256369,-0.205204,-0.051165,True
100476,2018-19 NBFC Crisis,-0.151495,-0.101847,-0.049647,True
100476,2020 COVID Crash,-0.376327,-0.253179,-0.123148,True
100476,2024-26 Sideways,-0.20974,-0.20974,-0.0,True
100477,2011 Bear,-0.321133,-0.291344,-0.029789,True
