scheme_code,sim_start_date,sim_end_date,years,bnh_cagr,bnh_max_dd,v1_cagr,v1_max_dd,v1_score,v1_edge_cagr,v1_edge_dd,v2a_strategy,v2a_gating,v2a_trim,v2a_cagr,v2a_max_dd,v2a_score,v2a_num_sells,v2a_regime_days,v2a_regime_pct,v2a_edge_cagr,v2a_edge_dd,v2b_strategy,v2b_gating,v2b_trim,v2b_cagr,v2b_max_dd,v2b_score,v2b_num_sells,v2b_regime_days,v2b_regime_pct,v2b_edge_cagr,v2b_edge_dd,min_bar_passed,target_bar_passed
100033,2010-01-05,2026-04-08,16.25,0.11322,-0.396009,0.103071,-0.324172,-0.059015,-0.010149,0.071837,Drawdown,C,0.2,0.140182,-0.310277,-0.014957,21,978,0.2443,0.026962,0.085732,Volatility,C,0.1,0.108543,-0.324172,-0.053543,13,1827,0.4563,-0.004677,0.071837,True,True
100064,2010-01-05,2026-04-08,16.25,0.130777,-0.324691,0.092115,-0.219908,-0.017839,-0.038662,0.104783,Drawdown,C,0.1,0.111172,-0.192484,0.01493,19,904,0.2258,-0.019605,0.132206,Drawdown,C,0.1,0.112626,-0.193238,0.016006,19,1742,0.4351,-0.018151,0.131452,True,True
100081,2010-01-05,2026-04-02,16.24,0.109852,-0.288671,0.103697,-0.208119,-0.000363,-0.006155,0.080552,Drawdown,D,0.2,0.108157,-0.176993,0.01966,14,897,0.224,-0.001695,0.111678,Drawdown,C,0.1,0.107621,-0.176268,0.019487,27,1372,0.3426,-0.002231,0.112403,True,True
100175,2010-01-06,2026-04-08,16.25,0.133885,-0.468731,0.130313,-0.45546,-0.097417,-0.003572,0.013271,Drawdown,C,0.2,0.14519,-0.442904,-0.076262,20,908,0.2264,0.011305,0.025827,Drawdown,C,0.2,0.141538,-0.444944,-0.080934,21,1720,0.4288,0.007652,0.023786,True,True
100177,2010-01-06,2026-04-08,16.25,0.147842,-0.520604,0.144928,-0.497151,-0.103647,-0.002914,0.023453,Drawdown,C,0.2,0.166876,-0.385757,-0.026002,24,829,0.2069,0.019034,0.134847,Drawdown,D,0.2,0.142491,-0.413479,-0.064248,9,1527,0.3811,-0.005351,0.107125,True,True
100219,2010-01-05,2026-04-08,16.25,0.090281,-0.35791,0.092294,-0.35791,-0.086661,0.002013,0.0,Drawdown,D,0.2,0.098134,-0.32958,-0.066656,9,911,0.2272,0.007854,0.02833,Drawdown,C,0.2,0.094075,-0.329236,-0.070543,8,1439,0.3589,0.003794,0.028674,True,True
100221,2010-01-05,2026-04-02,16.24,0.103141,-0.370225,0.086755,-0.297321,-0.061905,-0.016386,0.072904,Drawdown,C,0.2,0.090886,-0.1978,-0.008014,20,905,0.2258,-0.012256,0.172425,Drawdown,D,0.2,0.094734,-0.297321,-0.053926,8,1453,0.3625,-0.008407,0.072904,True,True
100254,2010-01-05,2026-04-08,16.25,0.096247,-0.518255,0.099774,-0.518255,-0.159353,0.003527,-0.0,Drawdown,A,0.2,0.107811,-0.518255,-0.151316,15,972,0.2427,0.011564,0.0,Drawdown,A,0.2,0.105252,-0.518255,-0.153875,11,1914,0.4779,0.009006,0.0,True,True
100313,2010-01-05,2026-04-08,16.25,0.083472,-0.342744,0.077061,-0.305625,-0.075752,-0.006411,0.037119,Drawdown,D,0.2,0.088102,-0.27809,-0.050943,9,968,0.243,0.004629,0.064654,Drawdown,C,0.2,0.092658,-0.276606,-0.045645,20,1736,0.4357,0.009185,0.066138,True,True
100323,2010-01-05,2026-04-02,16.24,0.076079,-0.282468,0.076348,-0.233655,-0.04048,0.000269,0.048813,Drawdown,A,0.2,0.081814,-0.187816,-0.012094,15,926,0.2327,0.005736,0.094652,Drawdown,A,0.2,0.084062,-0.189777,-0.010826,16,1426,0.3583,0.007984,0.092691,True,True
