scheme_code,amc,scheme_name,scheme_category,aaum_lakhs,launch_date,effective_start_date
100033,Aditya Birla Sun Life AMC Limited,Aditya Birla Sun Life Large & Mid Cap Fund - Regular Growth,Equity Scheme - Large & Mid Cap Fund,442821.19,24/02/1995,01/01/2006
100064,Aditya Birla Sun Life AMC Limited,Aditya Birla Sun Life MNC Fund - Growth - Regular Plan,Equity Scheme - Sectoral/ Thematic,229348.85,16/11/1998,01/01/2006
100081,DSP Asset Managers Private Limited,DSP Aggressive Hybrid Fund- Regular Plan - Growth,Hybrid Scheme - Aggressive Hybrid Fund,939549.28,03/05/1999,01/01/2006
100175,quant Money Managers Limited,quant ELSS Tax Saver Fund - Growth Option - Regular Plan,Equity Scheme - ELSS,246762.72,08/03/2000,01/01/2006
100177,quant Money Managers Limited,quant Small Cap Fund - Growth - Regular Plan,Equity Scheme - Small Cap Fund,733453.16,23/09/1996,01/01/2006
100219,JM Financial Asset Management Limited,JM Large Cap Fund (Regular) - Growth Option,Equity Scheme - Large Cap Fund,30803.53,01/04/1995,01/01/2006
100221,JM Financial Asset Management Limited,JM Aggressive Hybrid Fund (Regular) -Growth Option,Hybrid Scheme - Aggressive Hybrid Fund,56790.99,01/04/1995,01/01/2006
100254,JM Financial Asset Management Limited,JM Value Fund (Regular) - Growth Option,Equity Scheme - Value Fund,63301.27,25/03/1997,01/01/2006
100313,LIC Mutual Fund Asset Management Limited,LIC MF Flexi Cap Fund-Regular Plan-Growth,Equity Scheme - Flexi Cap Fund,88297.18,16/04/1998,01/01/2006
100323,LIC Mutual Fund Asset Management Limited,LIC MF Aggressive Hybrid Fund-Regular Plan-Growth,Hybrid Scheme - Aggressive Hybrid Fund,40920.67,01/01/1991,01/01/2006
100414,Tata Asset Management Limited,Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,Hybrid Scheme - Aggressive Hybrid Fund,280702.44,30/08/1995,01/01/2006
100415,Tata Asset Management Limited,Tata Ethical Fund-Regular Plan - Growth Option,Equity Scheme - Sectoral/ Thematic,219454.88,01/01/2013,01/01/2013
100475,Tata Asset Management Limited,Tata Large Cap Fund -Regular Plan - Growth Option,Equity Scheme - Large Cap Fund,207747.74,01/01/2013,01/01/2013
100476,Taurus Asset Management Company Limited,Taurus Flexi Cap Fund - Regular Plan - Growth ,Equity Scheme - Flexi Cap Fund,33124.58,29/01/1994,01/01/2006
100477,Taurus Asset Management Company Limited,Taurus Mid Cap Fund - Regular Plan - Growth,Equity Scheme - Mid Cap Fund,11561.92,05/09/1994,01/01/2006
100480,Taurus Asset Management Company Limited,Taurus ELSS Tax Saver Fund - Regular Plan - Growth,Equity Scheme - ELSS,4142.45,05/03/2007,05/03/2007
100631,quant Money Managers Limited,quant Multi Cap Fund-GROWTH OPTION - Regular Plan,Equity Scheme - Multi Cap Fund,387133.09,19/02/2001,01/01/2006
100651,UTI Asset Mgmt. Co. Ltd.,UTI Large Cap Fund - Regular Plan - Growth Option,Equity Scheme - Large Cap Fund,783827.26,01/02/2003,01/01/2006
100664,UTI Asset Mgmt. Co. Ltd.,UTI Large & Mid Cap Fund - Regular Plan - Growth Option,Equity Scheme - Large & Mid Cap Fund,418290.02,20/05/2009,20/05/2009
100684,UTI Asset Mgmt. Co. Ltd.,UTI Aggressive Hybrid Fund - Regular Plan - Growth,Hybrid Scheme - Aggressive Hybrid Fund,470945.75,02/01/1995,01/01/2006
100740,UTI Asset Mgmt. Co. Ltd.,UTI - MNC Fund - Regular Plan - Growth Option,Equity Scheme - Sectoral/ Thematic,195832.78,01/02/2003,01/01/2006
100795,Sundaram Asset Management Company Ltd,Sundaram Small Cap Fund Regular Plan - Growth,Equity Scheme - Small Cap Fund,282897.19,03/01/2005,01/01/2006
100807,UTI Asset Mgmt. Co. Ltd.,UTI Healthcare Fund - Regular Plan - Growth Option,Equity Scheme - Sectoral/ Thematic,76258.37,27/05/1999,01/01/2006
100821,UTI Asset Mgmt. Co. Ltd.,UTI ELSS Tax Saver Fund - Regular Plan - Growth Option,Equity Scheme - ELSS,278564.99,15/11/1999,01/01/2006
100865,LIC Mutual Fund Asset Management Limited,LIC MF ELSS Tax Saver-Regular Plan-Growth,Equity Scheme - ELSS,87009.22,11/01/1997,01/01/2006
101065,quant Money Managers Limited,quant Mid Cap Fund - Growth Option - Regular Plan,Equity Scheme - Mid Cap Fund,281176.22,12/02/2001,01/01/2006
101070,quant Money Managers Limited,quant Aggressive Hybrid Fund - Growth Option - Regular Plan,Hybrid Scheme - Aggressive Hybrid Fund,121451.51,19/02/2001,01/01/2006
101072,quant Money Managers Limited,quant Multi Asset Allocation Fund-GROWTH OPTION - Regular Plan,Hybrid Scheme - Multi Asset Allocation,249740.81,19/02/2001,01/01/2006
101209,Taurus Asset Management Company Limited,Taurus Large Cap Fund - Regular Plan - Growth,Equity Scheme - Large Cap Fund,4777.59,07/05/2008,07/05/2008
101539,Sundaram Asset Management Company Ltd,Sundaram Mid Cap Fund Regular Plan - Growth,Equity Scheme - Mid Cap Fund,1092212.98,24/06/2002,01/01/2006
101594,HSBC Asset Management (India) Private Ltd.,HSBC Large Cap Fund - Regular Growth,Equity Scheme - Large Cap Fund,147934.27,14/11/2002,01/01/2006
101635,DSP Asset Managers Private Limited,DSP Large Cap Fund - Regular Plan - Growth,Equity Scheme - Large Cap Fund,506130.3,10/02/2003,01/01/2006
101672,Tata Asset Management Limited,Tata Value Fund - Regular Plan -Growth Option,Equity Scheme - Value Fund,619337.4,17/05/2004,01/01/2006
101766,Tata Asset Management Limited,Tata Infrastructure Fund-Regular Plan- Growth Option,Equity Scheme - Sectoral/ Thematic,134794.17,01/01/2013,01/01/2013
101824,Tata Asset Management Limited,Tata Large & Mid Cap Fund- Regular Plan - Growth Option,Equity Scheme - Large & Mid Cap Fund,657414.32,01/01/2013,01/01/2013
101853,Sundaram Asset Management Company Ltd,Sundaram Value Fund Regular Plan - Growth,Equity Scheme - Value Fund,93135.92,22/11/1999,01/01/2006
101922,Canara Robeco Asset Management Company Limited,CANARA ROBECO FLEXICAP FUND - REGULAR PLAN - GROWTH OPTION,Equity Scheme - Flexi Cap Fund,1121292.2,29/08/2003,01/01/2006
102000,HDFC Asset Management Company Limited,HDFC Large Cap Fund - Growth Option - Regular Plan,Equity Scheme - Large Cap Fund,2748420.38,19/08/1996,01/01/2006
102020,Baroda BNP Paribas Asset Management India Private Limited,Baroda BNP Paribas MULTI CAP FUND - Regular Plan - Growth Option,Equity Scheme - Multi Cap Fund,253049.58,14/08/2003,01/01/2006
102142,Sundaram Asset Management Company Ltd,Sundaram Consumption Fund(Formerly Known as Sundaram Rural and Consumption Fund Regular Plan - Growth),Equity Scheme - Sectoral/ Thematic,123174.2,20/03/2006,20/03/2006
102252,HSBC Asset Management (India) Private Ltd.,HSBC Flexi Cap Fund - Regular Growth,Equity Scheme - Flexi Cap Fund,418555.86,22/01/2004,01/01/2006
102328,Tata Asset Management Limited,Tata Mid Cap Fund Regular Plan- Growth Option,Equity Scheme - Mid Cap Fund,450089.25,15/06/1994,01/01/2006
102401,UTI Asset Mgmt. Co. Ltd.,UTI Banking and Financial Services Fund - Regular Plan - Growth Option,Equity Scheme - Sectoral/ Thematic,105297.12,02/01/2003,01/01/2006
102414,SBI Funds Management Limited,SBI CONTRA FUND - REGULAR PLAN -GROWTH,Equity Scheme - Contra Fund,3269341.55,06/05/2005,01/01/2006
102434,DSP Asset Managers Private Limited,DSP India T.I.G.E.R. Fund - Regular Plan - Growth,Equity Scheme - Sectoral/ Thematic,424658.22,27/04/2004,01/01/2006
102756,SBI Funds Management Limited,SBI FOCUSED FUND - REGULAR PLAN -GROWTH,Equity Scheme - Focused Fund,2963615.54,23/08/2004,01/01/2006
